"Step","silvery-sweep-17 - fairness_valid/Gini_exposure","silvery-sweep-17 - fairness_valid/Gini_exposure__MIN","silvery-sweep-17 - fairness_valid/Gini_exposure__MAX","fanciful-sweep-16 - fairness_valid/Gini_exposure","fanciful-sweep-16 - fairness_valid/Gini_exposure__MIN","fanciful-sweep-16 - fairness_valid/Gini_exposure__MAX","charmed-sweep-15 - fairness_valid/Gini_exposure","charmed-sweep-15 - fairness_valid/Gini_exposure__MIN","charmed-sweep-15 - fairness_valid/Gini_exposure__MAX","ruby-sweep-14 - fairness_valid/Gini_exposure","ruby-sweep-14 - fairness_valid/Gini_exposure__MIN","ruby-sweep-14 - fairness_valid/Gini_exposure__MAX","dainty-sweep-13 - fairness_valid/Gini_exposure","dainty-sweep-13 - fairness_valid/Gini_exposure__MIN","dainty-sweep-13 - fairness_valid/Gini_exposure__MAX","stellar-sweep-12 - fairness_valid/Gini_exposure","stellar-sweep-12 - fairness_valid/Gini_exposure__MIN","stellar-sweep-12 - fairness_valid/Gini_exposure__MAX","super-sweep-11 - fairness_valid/Gini_exposure","super-sweep-11 - fairness_valid/Gini_exposure__MIN","super-sweep-11 - fairness_valid/Gini_exposure__MAX","feasible-sweep-10 - fairness_valid/Gini_exposure","feasible-sweep-10 - fairness_valid/Gini_exposure__MIN","feasible-sweep-10 - fairness_valid/Gini_exposure__MAX","misty-sweep-9 - fairness_valid/Gini_exposure","misty-sweep-9 - fairness_valid/Gini_exposure__MIN","misty-sweep-9 - fairness_valid/Gini_exposure__MAX","gentle-sweep-8 - fairness_valid/Gini_exposure","gentle-sweep-8 - fairness_valid/Gini_exposure__MIN","gentle-sweep-8 - fairness_valid/Gini_exposure__MAX"
"1","0.18494167550367235","0.18494167550367235","0.18494167550367235","0.21325556733823686","0.21325556733823686","0.21325556733823686","0.18218451749731027","0.18218451749731027","0.18218451749731027","0.18345705196178505","0.18345705196178505","0.18345705196178505","0.19798515376453915","0.19798515376453915","0.19798515376453915","0.1798515376457731","0.1798515376457731","0.1798515376457731","0.18006362672318557","0.18006362672318557","0.18006362672318557","0.1829268292682539","0.1829268292682539","0.1829268292682539","0.1618239660657133","0.1618239660657133","0.1618239660657133","0.16394485683983798","0.16394485683983798","0.16394485683983798"
"2","0.12852598091195577","0.12852598091195577","0.12852598091195577","0.17932131495224193","0.17932131495224193","0.17932131495224193","0.1751855779426988","0.1751855779426988","0.1751855779426988","0.17783669141035466","0.17783669141035466","0.17783669141035466","0.20678685047715656","0.20678685047715656","0.20678685047715656","0.18006362672318557","0.18006362672318557","0.18006362672318557","0.18059384941671675","0.18059384941671675","0.18059384941671675","0.18748674443262195","0.18748674443262195","0.18748674443262195","0.042523860021199886","0.042523860021199886","0.042523860021199886","0.04634146341462431","0.04634146341462431","0.04634146341462431"
"3","0.09225874867442371","0.09225874867442371","0.09225874867442371","0.05758218451748513","0.05758218451748513","0.05758218451748513","0.14220572640506","0.14220572640506","0.14220572640506","0.14612937433719064","0.14612937433719064","0.14612937433719064","0.19088016967122146","0.19088016967122146","0.19088016967122146","0.1792152704135357","0.1792152704135357","0.1792152704135357","0.1804878048780105","0.1804878048780105","0.1804878048780105","0.18992576882286535","0.18992576882286535","0.18992576882286535","0.2576882290561489","0.2576882290561489","0.2576882290561489","0.2574761399787365","0.2574761399787365","0.2574761399787365"
"4","0.3687168610815761","0.3687168610815761","0.3687168610815761","0.3738069989394753","0.3738069989394753","0.3738069989394753","0.0813361611876816","0.0813361611876816","0.0813361611876816","0.08653234358428707","0.08653234358428707","0.08653234358428707","0.13552492046656725","0.13552492046656725","0.13552492046656725","0.17910922587482947","0.17910922587482947","0.17910922587482947","0.18038176033930428","0.18038176033930428","0.18038176033930428","0.19141039236475263","0.19141039236475263","0.19141039236475263","0.442523860021115","0.442523860021115","0.442523860021115","0.4430540827146462","0.4430540827146462","0.4430540827146462"
"5","0.4669141039235489","0.4669141039235489","0.4669141039235489","0.4712619300105045","0.4712619300105045","0.4712619300105045","0.02778366914103334","0.02778366914103334","0.02778366914103334","0.024602332979846316","0.024602332979846316","0.024602332979846316","0.01930010604453461","0.01930010604453461","0.01930010604453461","0.17826086956517959","0.17826086956517959","0.17826086956517959","0.17974549310706686","0.17974549310706686","0.17974549310706686","0.19363732767758354","0.19363732767758354","0.19363732767758354","0.4895015906679767","0.4895015906679767","0.4895015906679767","0.489607635206683","0.489607635206683","0.489607635206683"
"6","0.49480381760328845","0.49480381760328845","0.49480381760328845","0.49671261930000066","0.49671261930000066","0.49671261930000066","0.18907741251321547","0.18907741251321547","0.18907741251321547","0.18769883351003444","0.18769883351003444","0.18769883351003444","0.1658536585365502","0.1658536585365502","0.1658536585365502","0.1776246023329422","0.1776246023329422","0.1776246023329422","0.1792152704135357","0.1792152704135357","0.1792152704135357","0.1959703075291207","0.1959703075291207","0.1959703075291207","0.4971367974548256","0.4971367974548256","0.4971367974548256","0.4972428419935318","0.4972428419935318","0.4972428419935318"
"7","0.49830328738059415","0.49830328738059415","0.49830328738059415","0.49862142099671286","0.49862142099671286","0.49862142099671286","0.33605514316005597","0.33605514316005597","0.33605514316005597","0.33605514316005597","0.33605514316005597","0.33605514316005597","0.3362672322374684","0.3362672322374684","0.3362672322374684","0.17688229056199856","0.17688229056199856","0.17688229056199856","0.1785790031812983","0.1785790031812983","0.1785790031812983","0.1966065747613581","0.1966065747613581","0.1966065747613581","0.49851537645800664","0.49851537645800664","0.49851537645800664","0.49851537645800664","0.49851537645800664","0.49851537645800664"
"8","0.4990455991515378","0.4990455991515378","0.4990455991515378","0.4994697773063627","0.4994697773063627","0.4994697773063627","0.4251325556732926","0.4251325556732926","0.4251325556732926","0.42587486744423625","0.42587486744423625","0.42587486744423625","0.43149522799566664","0.43149522799566664","0.43149522799566664","0.1708377518557432","0.1708377518557432","0.1708377518557432","0.17348886532339905","0.17348886532339905","0.17348886532339905","0.19639448568394563","0.19639448568394563","0.19639448568394563","0.49819724284188793","0.49819724284188793","0.49819724284188793","0.49819724284188793","0.49819724284188793","0.49819724284188793"
"9","0.49893955461283157","0.49893955461283157","0.49893955461283157","0.4993637327676565","0.4993637327676565","0.4993637327676565","0.4654294803816616","0.4654294803816616","0.4654294803816616","0.46606574761389896","0.46606574761389896","0.46606574761389896","0.47094379639438577","0.47094379639438577","0.47094379639438577","0.1674443266171437","0.1674443266171437","0.1674443266171437","0.1702014846235058","0.1702014846235058","0.1702014846235058","0.1966065747613581","0.1966065747613581","0.1966065747613581","0.4978791092257692","0.4978791092257692","0.4978791092257692","0.4978791092257692","0.4978791092257692","0.4978791092257692"
"10","0.4994697773063627","0.4994697773063627","0.4994697773063627","0.4993637327676565","0.4993637327676565","0.4993637327676565","0.4814422057263029","0.4814422057263029","0.4814422057263029","0.4815482502650092","0.4815482502650092","0.4815482502650092","0.4854718981971398","0.4854718981971398","0.4854718981971398","0.1605514316012385","0.1605514316012385","0.1605514316012385","0.1636267232237193","0.1636267232237193","0.1636267232237193","0.19215270413569627","0.19215270413569627","0.19215270413569627","0.49830328738059415","0.49830328738059415","0.49830328738059415","0.49830328738059415","0.49830328738059415","0.49830328738059415"
