"Step","silvery-sweep-17 - accuracy_valid/hit@10","silvery-sweep-17 - accuracy_valid/hit@10__MIN","silvery-sweep-17 - accuracy_valid/hit@10__MAX","fanciful-sweep-16 - accuracy_valid/hit@10","fanciful-sweep-16 - accuracy_valid/hit@10__MIN","fanciful-sweep-16 - accuracy_valid/hit@10__MAX","charmed-sweep-15 - accuracy_valid/hit@10","charmed-sweep-15 - accuracy_valid/hit@10__MIN","charmed-sweep-15 - accuracy_valid/hit@10__MAX","ruby-sweep-14 - accuracy_valid/hit@10","ruby-sweep-14 - accuracy_valid/hit@10__MIN","ruby-sweep-14 - accuracy_valid/hit@10__MAX","dainty-sweep-13 - accuracy_valid/hit@10","dainty-sweep-13 - accuracy_valid/hit@10__MIN","dainty-sweep-13 - accuracy_valid/hit@10__MAX","stellar-sweep-12 - accuracy_valid/hit@10","stellar-sweep-12 - accuracy_valid/hit@10__MIN","stellar-sweep-12 - accuracy_valid/hit@10__MAX","super-sweep-11 - accuracy_valid/hit@10","super-sweep-11 - accuracy_valid/hit@10__MIN","super-sweep-11 - accuracy_valid/hit@10__MAX","feasible-sweep-10 - accuracy_valid/hit@10","feasible-sweep-10 - accuracy_valid/hit@10__MIN","feasible-sweep-10 - accuracy_valid/hit@10__MAX","misty-sweep-9 - accuracy_valid/hit@10","misty-sweep-9 - accuracy_valid/hit@10__MIN","misty-sweep-9 - accuracy_valid/hit@10__MAX","gentle-sweep-8 - accuracy_valid/hit@10","gentle-sweep-8 - accuracy_valid/hit@10__MIN","gentle-sweep-8 - accuracy_valid/hit@10__MAX"
"1","0.0498","0.0498","0.0498","0.0445","0.0445","0.0445","0.0509","0.0509","0.0509","0.0509","0.0509","0.0509","0.0488","0.0488","0.0488","0.053","0.053","0.053","0.053","0.053","0.053","0.052","0.052","0.052","0.0583","0.0583","0.0583","0.0583","0.0583","0.0583"
"2","0.0541","0.0541","0.0541","0.0467","0.0467","0.0467","0.0488","0.0488","0.0488","0.0477","0.0477","0.0477","0.0403","0.0403","0.0403","0.0541","0.0541","0.0541","0.053","0.053","0.053","0.0509","0.0509","0.0509","0.0785","0.0785","0.0785","0.0785","0.0785","0.0785"
"3","0.1113","0.1113","0.1113","0.1103","0.1103","0.1103","0.0509","0.0509","0.0509","0.0488","0.0488","0.0488","0.0371","0.0371","0.0371","0.052","0.052","0.052","0.0509","0.0509","0.0509","0.0488","0.0488","0.0488","0.1527","0.1527","0.1527","0.1538","0.1538","0.1538"
"4","0.2312","0.2312","0.2312","0.2386","0.2386","0.2386","0.0583","0.0583","0.0583","0.0573","0.0573","0.0573","0.0509","0.0509","0.0509","0.052","0.052","0.052","0.052","0.052","0.052","0.0467","0.0467","0.0467","0.2694","0.2694","0.2694","0.2725","0.2725","0.2725"
"5","0.3139","0.3139","0.3139","0.334","0.334","0.334","0.0997","0.0997","0.0997","0.0986","0.0986","0.0986","0.0859","0.0859","0.0859","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.052","0.3298","0.3298","0.3298","0.3309","0.3309","0.3309"
"6","0.3839","0.3839","0.3839","0.3966","0.3966","0.3966","0.1506","0.1506","0.1506","0.1516","0.1516","0.1516","0.1506","0.1506","0.1506","0.0509","0.0509","0.0509","0.0498","0.0498","0.0498","0.0477","0.0477","0.0477","0.3552","0.3552","0.3552","0.3584","0.3584","0.3584"
"7","0.4093","0.4093","0.4093","0.4178","0.4178","0.4178","0.2259","0.2259","0.2259","0.2248","0.2248","0.2248","0.2333","0.2333","0.2333","0.0467","0.0467","0.0467","0.0467","0.0467","0.0467","0.0477","0.0477","0.0477","0.3839","0.3839","0.3839","0.3849","0.3849","0.3849"
"8","0.4231","0.4231","0.4231","0.421","0.421","0.421","0.263","0.263","0.263","0.2641","0.2641","0.2641","0.2662","0.2662","0.2662","0.0488","0.0488","0.0488","0.0477","0.0477","0.0477","0.0467","0.0467","0.0467","0.3998","0.3998","0.3998","0.403","0.403","0.403"
"9","0.4422","0.4422","0.4422","0.4422","0.4422","0.4422","0.3107","0.3107","0.3107","0.3118","0.3118","0.3118","0.3245","0.3245","0.3245","0.0488","0.0488","0.0488","0.0488","0.0488","0.0488","0.0445","0.0445","0.0445","0.4115","0.4115","0.4115","0.4146","0.4146","0.4146"
"10","0.4411","0.4411","0.4411","0.4539","0.4539","0.4539","0.3468","0.3468","0.3468","0.3489","0.3489","0.3489","0.3627","0.3627","0.3627","0.052","0.052","0.052","0.0509","0.0509","0.0509","0.0445","0.0445","0.0445","0.4295","0.4295","0.4295","0.4295","0.4295","0.4295"
