"Step","silvery-sweep-17 - accuracy_valid/mrr@10","silvery-sweep-17 - accuracy_valid/mrr@10__MIN","silvery-sweep-17 - accuracy_valid/mrr@10__MAX","fanciful-sweep-16 - accuracy_valid/mrr@10","fanciful-sweep-16 - accuracy_valid/mrr@10__MIN","fanciful-sweep-16 - accuracy_valid/mrr@10__MAX","charmed-sweep-15 - accuracy_valid/mrr@10","charmed-sweep-15 - accuracy_valid/mrr@10__MIN","charmed-sweep-15 - accuracy_valid/mrr@10__MAX","ruby-sweep-14 - accuracy_valid/mrr@10","ruby-sweep-14 - accuracy_valid/mrr@10__MIN","ruby-sweep-14 - accuracy_valid/mrr@10__MAX","dainty-sweep-13 - accuracy_valid/mrr@10","dainty-sweep-13 - accuracy_valid/mrr@10__MIN","dainty-sweep-13 - accuracy_valid/mrr@10__MAX","stellar-sweep-12 - accuracy_valid/mrr@10","stellar-sweep-12 - accuracy_valid/mrr@10__MIN","stellar-sweep-12 - accuracy_valid/mrr@10__MAX","super-sweep-11 - accuracy_valid/mrr@10","super-sweep-11 - accuracy_valid/mrr@10__MIN","super-sweep-11 - accuracy_valid/mrr@10__MAX","feasible-sweep-10 - accuracy_valid/mrr@10","feasible-sweep-10 - accuracy_valid/mrr@10__MIN","feasible-sweep-10 - accuracy_valid/mrr@10__MAX","misty-sweep-9 - accuracy_valid/mrr@10","misty-sweep-9 - accuracy_valid/mrr@10__MIN","misty-sweep-9 - accuracy_valid/mrr@10__MAX","gentle-sweep-8 - accuracy_valid/mrr@10","gentle-sweep-8 - accuracy_valid/mrr@10__MIN","gentle-sweep-8 - accuracy_valid/mrr@10__MAX"
"1","0.0156","0.0156","0.0156","0.0128","0.0128","0.0128","0.0145","0.0145","0.0145","0.0147","0.0147","0.0147","0.0141","0.0141","0.0141","0.0158","0.0158","0.0158","0.0158","0.0158","0.0158","0.0155","0.0155","0.0155","0.0154","0.0154","0.0154","0.0154","0.0154","0.0154"
"2","0.017","0.017","0.017","0.0145","0.0145","0.0145","0.0152","0.0152","0.0152","0.015","0.015","0.015","0.0139","0.0139","0.0139","0.0157","0.0157","0.0157","0.0156","0.0156","0.0156","0.0153","0.0153","0.0153","0.0224","0.0224","0.0224","0.0218","0.0218","0.0218"
"3","0.0354","0.0354","0.0354","0.0327","0.0327","0.0327","0.0178","0.0178","0.0178","0.0176","0.0176","0.0176","0.0158","0.0158","0.0158","0.0157","0.0157","0.0157","0.0156","0.0156","0.0156","0.0153","0.0153","0.0153","0.0478","0.0478","0.0478","0.0473","0.0473","0.0473"
"4","0.0734","0.0734","0.0734","0.0798","0.0798","0.0798","0.0176","0.0176","0.0176","0.0174","0.0174","0.0174","0.0149","0.0149","0.0149","0.0154","0.0154","0.0154","0.0153","0.0153","0.0153","0.0145","0.0145","0.0145","0.0849","0.0849","0.0849","0.0849","0.0849","0.0849"
"5","0.0995","0.0995","0.0995","0.1077","0.1077","0.1077","0.0289","0.0289","0.0289","0.0286","0.0286","0.0286","0.0243","0.0243","0.0243","0.015","0.015","0.015","0.015","0.015","0.015","0.0148","0.0148","0.0148","0.114","0.114","0.114","0.1142","0.1142","0.1142"
"6","0.1208","0.1208","0.1208","0.1275","0.1275","0.1275","0.0488","0.0488","0.0488","0.049","0.049","0.049","0.0479","0.0479","0.0479","0.015","0.015","0.015","0.0149","0.0149","0.0149","0.014","0.014","0.014","0.1298","0.1298","0.1298","0.1311","0.1311","0.1311"
"7","0.1361","0.1361","0.1361","0.1452","0.1452","0.1452","0.0715","0.0715","0.0715","0.0715","0.0715","0.0715","0.0751","0.0751","0.0751","0.0149","0.0149","0.0149","0.0149","0.0149","0.0149","0.014","0.014","0.014","0.1428","0.1428","0.1428","0.1434","0.1434","0.1434"
"8","0.1459","0.1459","0.1459","0.1493","0.1493","0.1493","0.0864","0.0864","0.0864","0.0868","0.0868","0.0868","0.0918","0.0918","0.0918","0.015","0.015","0.015","0.0149","0.0149","0.0149","0.014","0.014","0.014","0.1499","0.1499","0.1499","0.1496","0.1496","0.1496"
"9","0.1556","0.1556","0.1556","0.1561","0.1561","0.1561","0.0986","0.0986","0.0986","0.0992","0.0992","0.0992","0.104","0.104","0.104","0.0149","0.0149","0.0149","0.0149","0.0149","0.0149","0.0137","0.0137","0.0137","0.1535","0.1535","0.1535","0.1557","0.1557","0.1557"
"10","0.1526","0.1526","0.1526","0.1574","0.1574","0.1574","0.1079","0.1079","0.1079","0.1085","0.1085","0.1085","0.1134","0.1134","0.1134","0.0157","0.0157","0.0157","0.015","0.015","0.015","0.0136","0.0136","0.0136","0.1575","0.1575","0.1575","0.1575","0.1575","0.1575"
