"Step","silvery-sweep-17 - accuracy_valid/recall@10","silvery-sweep-17 - accuracy_valid/recall@10__MIN","silvery-sweep-17 - accuracy_valid/recall@10__MAX","fanciful-sweep-16 - accuracy_valid/recall@10","fanciful-sweep-16 - accuracy_valid/recall@10__MIN","fanciful-sweep-16 - accuracy_valid/recall@10__MAX","charmed-sweep-15 - accuracy_valid/recall@10","charmed-sweep-15 - accuracy_valid/recall@10__MIN","charmed-sweep-15 - accuracy_valid/recall@10__MAX","ruby-sweep-14 - accuracy_valid/recall@10","ruby-sweep-14 - accuracy_valid/recall@10__MIN","ruby-sweep-14 - accuracy_valid/recall@10__MAX","dainty-sweep-13 - accuracy_valid/recall@10","dainty-sweep-13 - accuracy_valid/recall@10__MIN","dainty-sweep-13 - accuracy_valid/recall@10__MAX","stellar-sweep-12 - accuracy_valid/recall@10","stellar-sweep-12 - accuracy_valid/recall@10__MIN","stellar-sweep-12 - accuracy_valid/recall@10__MAX","super-sweep-11 - accuracy_valid/recall@10","super-sweep-11 - accuracy_valid/recall@10__MIN","super-sweep-11 - accuracy_valid/recall@10__MAX","feasible-sweep-10 - accuracy_valid/recall@10","feasible-sweep-10 - accuracy_valid/recall@10__MIN","feasible-sweep-10 - accuracy_valid/recall@10__MAX","misty-sweep-9 - accuracy_valid/recall@10","misty-sweep-9 - accuracy_valid/recall@10__MIN","misty-sweep-9 - accuracy_valid/recall@10__MAX","gentle-sweep-8 - accuracy_valid/recall@10","gentle-sweep-8 - accuracy_valid/recall@10__MIN","gentle-sweep-8 - accuracy_valid/recall@10__MAX"
"1","0.0064","0.0064","0.0064","0.0061","0.0061","0.0061","0.0071","0.0071","0.0071","0.0071","0.0071","0.0071","0.007","0.007","0.007","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0066","0.0066","0.0066","0.0052","0.0052","0.0052","0.0052","0.0052","0.0052"
"2","0.0077","0.0077","0.0077","0.0064","0.0064","0.0064","0.0074","0.0074","0.0074","0.0073","0.0073","0.0073","0.0062","0.0062","0.0062","0.0071","0.0071","0.0071","0.007","0.007","0.007","0.0066","0.0066","0.0066","0.0082","0.0082","0.0082","0.0082","0.0082","0.0082"
"3","0.0142","0.0142","0.0142","0.0137","0.0137","0.0137","0.0074","0.0074","0.0074","0.0072","0.0072","0.0072","0.0052","0.0052","0.0052","0.0069","0.0069","0.0069","0.0066","0.0066","0.0066","0.0065","0.0065","0.0065","0.0178","0.0178","0.0178","0.0178","0.0178","0.0178"
"4","0.0336","0.0336","0.0336","0.0347","0.0347","0.0347","0.0077","0.0077","0.0077","0.0075","0.0075","0.0075","0.0066","0.0066","0.0066","0.0072","0.0072","0.0072","0.0072","0.0072","0.0072","0.0064","0.0064","0.0064","0.0386","0.0386","0.0386","0.0391","0.0391","0.0391"
"5","0.0515","0.0515","0.0515","0.0556","0.0556","0.0556","0.0126","0.0126","0.0126","0.0126","0.0126","0.0126","0.0114","0.0114","0.0114","0.0073","0.0073","0.0073","0.0073","0.0073","0.0073","0.0068","0.0068","0.0068","0.0544","0.0544","0.0544","0.0547","0.0547","0.0547"
"6","0.0723","0.0723","0.0723","0.0735","0.0735","0.0735","0.0192","0.0192","0.0192","0.019","0.019","0.019","0.0188","0.0188","0.0188","0.0072","0.0072","0.0072","0.0071","0.0071","0.0071","0.007","0.007","0.007","0.065","0.065","0.065","0.0656","0.0656","0.0656"
"7","0.0802","0.0802","0.0802","0.0796","0.0796","0.0796","0.0325","0.0325","0.0325","0.0324","0.0324","0.0324","0.0327","0.0327","0.0327","0.0065","0.0065","0.0065","0.0065","0.0065","0.0065","0.0071","0.0071","0.0071","0.0751","0.0751","0.0751","0.0753","0.0753","0.0753"
"8","0.0833","0.0833","0.0833","0.0833","0.0833","0.0833","0.0405","0.0405","0.0405","0.041","0.041","0.041","0.0418","0.0418","0.0418","0.0067","0.0067","0.0067","0.0066","0.0066","0.0066","0.0065","0.0065","0.0065","0.0783","0.0783","0.0783","0.0798","0.0798","0.0798"
"9","0.0897","0.0897","0.0897","0.0902","0.0902","0.0902","0.0504","0.0504","0.0504","0.0507","0.0507","0.0507","0.0519","0.0519","0.0519","0.0067","0.0067","0.0067","0.0067","0.0067","0.0067","0.0064","0.0064","0.0064","0.0852","0.0852","0.0852","0.086","0.086","0.086"
"10","0.0929","0.0929","0.0929","0.0967","0.0967","0.0967","0.0594","0.0594","0.0594","0.0593","0.0593","0.0593","0.0602","0.0602","0.0602","0.0068","0.0068","0.0068","0.0067","0.0067","0.0067","0.0064","0.0064","0.0064","0.0897","0.0897","0.0897","0.0895","0.0895","0.0895"
