"Step","silvery-sweep-17 - fairness_valid/U_abs","silvery-sweep-17 - fairness_valid/U_abs__MIN","silvery-sweep-17 - fairness_valid/U_abs__MAX","fanciful-sweep-16 - fairness_valid/U_abs","fanciful-sweep-16 - fairness_valid/U_abs__MIN","fanciful-sweep-16 - fairness_valid/U_abs__MAX","charmed-sweep-15 - fairness_valid/U_abs","charmed-sweep-15 - fairness_valid/U_abs__MIN","charmed-sweep-15 - fairness_valid/U_abs__MAX","ruby-sweep-14 - fairness_valid/U_abs","ruby-sweep-14 - fairness_valid/U_abs__MIN","ruby-sweep-14 - fairness_valid/U_abs__MAX","dainty-sweep-13 - fairness_valid/U_abs","dainty-sweep-13 - fairness_valid/U_abs__MIN","dainty-sweep-13 - fairness_valid/U_abs__MAX","stellar-sweep-12 - fairness_valid/U_abs","stellar-sweep-12 - fairness_valid/U_abs__MIN","stellar-sweep-12 - fairness_valid/U_abs__MAX","super-sweep-11 - fairness_valid/U_abs","super-sweep-11 - fairness_valid/U_abs__MIN","super-sweep-11 - fairness_valid/U_abs__MAX","feasible-sweep-10 - fairness_valid/U_abs","feasible-sweep-10 - fairness_valid/U_abs__MIN","feasible-sweep-10 - fairness_valid/U_abs__MAX","misty-sweep-9 - fairness_valid/U_abs","misty-sweep-9 - fairness_valid/U_abs__MIN","misty-sweep-9 - fairness_valid/U_abs__MAX","gentle-sweep-8 - fairness_valid/U_abs","gentle-sweep-8 - fairness_valid/U_abs__MIN","gentle-sweep-8 - fairness_valid/U_abs__MAX"
"1","0.31625413451667067","0.31625413451667067","0.31625413451667067","0.3162342841350236","0.3162342841350236","0.3162342841350236","0.31621903119292505","0.31621903119292505","0.31621903119292505","0.31621788929228545","0.31621788929228545","0.31621788929228545","0.3162076681439772","0.3162076681439772","0.3162076681439772","0.3161981748144596","0.3161981748144596","0.3161981748144596","0.316197939735769","0.316197939735769","0.316197939735769","0.31619608117696824","0.31619608117696824","0.31619608117696824","0.31631787110112947","0.31631787110112947","0.31631787110112947","0.31631624168332656","0.31631624168332656","0.31631624168332656"
"2","0.3162977338500428","0.3162977338500428","0.3162977338500428","0.31625736004821764","0.31625736004821764","0.31625736004821764","0.3162361222548706","0.3162361222548706","0.3162361222548706","0.3162339097005611","0.3162339097005611","0.3162339097005611","0.31621405909615763","0.31621405909615763","0.31621405909615763","0.3162016603284855","0.3162016603284855","0.3162016603284855","0.31620123608892503","0.31620123608892503","0.31620123608892503","0.3161975070750392","0.3161975070750392","0.3161975070750392","0.3165863281661342","0.3165863281661342","0.3165863281661342","0.3165816404888862","0.3165816404888862","0.3165816404888862"
"3","0.3167024674978792","0.3167024674978792","0.3167024674978792","0.31663575868769545","0.31663575868769545","0.31663575868769545","0.31628273785044175","0.31628273785044175","0.31628273785044175","0.3162794016189948","0.3162794016189948","0.3162794016189948","0.3162478455350477","0.3162478455350477","0.3162478455350477","0.31620423855977614","0.31620423855977614","0.31620423855977614","0.31620360923789775","0.31620360923789775","0.31620360923789775","0.3161978278482754","0.3161978278482754","0.3161978278482754","0.31765345381519045","0.31765345381519045","0.31765345381519045","0.3176441809300012","0.3176441809300012","0.3176441809300012"
"4","0.31860966690581627","0.31860966690581627","0.31860966690581627","0.3185531679832289","0.3185531679832289","0.3185531679832289","0.3163452504999685","0.3163452504999685","0.3163452504999685","0.31634056331889465","0.31634056331889465","0.31634056331889465","0.31629516184468254","0.31629516184468254","0.31629516184468254","0.3162066351156549","0.3162066351156549","0.3162066351156549","0.31620579189463643","0.31620579189463643","0.31620579189463643","0.3161978726681897","0.3161978726681897","0.3161978726681897","0.32164186262620087","0.32164186262620087","0.32164186262620087","0.3216384000799864","0.3216384000799864","0.3216384000799864"
"5","0.3253949345665132","0.3253949345665132","0.3253949345665132","0.32572396156039485","0.32572396156039485","0.32572396156039485","0.3165011433188541","0.3165011433188541","0.3165011433188541","0.31649551202250575","0.31649551202250575","0.31649551202250575","0.3164382399930632","0.3164382399930632","0.3164382399930632","0.316208627058139","0.316208627058139","0.316208627058139","0.3162075881267571","0.3162075881267571","0.3162075881267571","0.31619771868911206","0.31619771868911206","0.31619771868911206","0.3323536811447289","0.3323536811447289","0.3323536811447289","0.33239572160975145","0.33239572160975145","0.33239572160975145"
"6","0.34193913718026925","0.34193913718026925","0.34193913718026925","0.34367396932615424","0.34367396932615424","0.34367396932615424","0.31696273247275675","0.31696273247275675","0.31696273247275675","0.31695704706525857","0.31695704706525857","0.31695704706525857","0.31688439053451056","0.31688439053451056","0.31688439053451056","0.3162119855124203","0.3162119855124203","0.3162119855124203","0.3162107443152315","0.3162107443152315","0.3162107443152315","0.31619890421894226","0.31619890421894226","0.31619890421894226","0.3535443587847865","0.3535443587847865","0.3535443587847865","0.3537081569593101","0.3537081569593101","0.3537081569593101"
"7","0.37028033966750673","0.37028033966750673","0.37028033966750673","0.37424456177009424","0.37424456177009424","0.37424456177009424","0.3180285622739175","0.3180285622739175","0.3180285622739175","0.31802524364982226","0.31802524364982226","0.31802524364982226","0.31795000358662695","0.31795000358662695","0.31795000358662695","0.3162158201667861","0.3162158201667861","0.3162158201667861","0.3162143757163955","0.3162143757163955","0.3162143757163955","0.31620056333320024","0.31620056333320024","0.31620056333320024","0.3850432987552324","0.3850432987552324","0.3850432987552324","0.3853649772994705","0.3853649772994705","0.3853649772994705"
"8","0.40330315611138556","0.40330315611138556","0.40330315611138556","0.40864974492625683","0.40864974492625683","0.40864974492625683","0.3202706727664942","0.3202706727664942","0.3202706727664942","0.32027910807985144","0.32027910807985144","0.32027910807985144","0.32026682020414354","0.32026682020414354","0.32026682020414354","0.3162194765605815","0.3162194765605815","0.3162194765605815","0.31621783355999533","0.31621783355999533","0.31621783355999533","0.3162020767254066","0.3162020767254066","0.3162020767254066","0.41812745043900496","0.41812745043900496","0.41812745043900496","0.4185653628047668","0.4185653628047668","0.4185653628047668"
"9","0.4391587624186491","0.4391587624186491","0.4391587624186491","0.4467419453729373","0.4467419453729373","0.4467419453729373","0.32432805523844377","0.32432805523844377","0.32432805523844377","0.324361477486425","0.324361477486425","0.324361477486425","0.32455181011013956","0.32455181011013956","0.32455181011013956","0.3162190000151346","0.3162190000151346","0.3162190000151346","0.3162171698885324","0.3162171698885324","0.3162171698885324","0.3161995756976253","0.3161995756976253","0.3161995756976253","0.45568383030071274","0.45568383030071274","0.45568383030071274","0.45627157354982467","0.45627157354982467","0.45627157354982467"
"10","0.4739863883143304","0.4739863883143304","0.4739863883143304","0.4814572079688792","0.4814572079688792","0.4814572079688792","0.3310069232851688","0.3310069232851688","0.3310069232851688","0.33109422460276194","0.33109422460276194","0.33109422460276194","0.3317812409295151","0.3317812409295151","0.3317812409295151","0.31622094145294066","0.31622094145294066","0.31622094145294066","0.3162189141117064","0.3162189141117064","0.3162189141117064","0.3161993977503384","0.3161993977503384","0.3161993977503384","0.4886827847972299","0.4886827847972299","0.4886827847972299","0.4892425785899263","0.4892425785899263","0.4892425785899263"
