"Step","silvery-sweep-17 - fairness_valid/U_under","silvery-sweep-17 - fairness_valid/U_under__MIN","silvery-sweep-17 - fairness_valid/U_under__MAX","fanciful-sweep-16 - fairness_valid/U_under","fanciful-sweep-16 - fairness_valid/U_under__MIN","fanciful-sweep-16 - fairness_valid/U_under__MAX","charmed-sweep-15 - fairness_valid/U_under","charmed-sweep-15 - fairness_valid/U_under__MIN","charmed-sweep-15 - fairness_valid/U_under__MAX","ruby-sweep-14 - fairness_valid/U_under","ruby-sweep-14 - fairness_valid/U_under__MIN","ruby-sweep-14 - fairness_valid/U_under__MAX","dainty-sweep-13 - fairness_valid/U_under","dainty-sweep-13 - fairness_valid/U_under__MIN","dainty-sweep-13 - fairness_valid/U_under__MAX","stellar-sweep-12 - fairness_valid/U_under","stellar-sweep-12 - fairness_valid/U_under__MIN","stellar-sweep-12 - fairness_valid/U_under__MAX","super-sweep-11 - fairness_valid/U_under","super-sweep-11 - fairness_valid/U_under__MIN","super-sweep-11 - fairness_valid/U_under__MAX","feasible-sweep-10 - fairness_valid/U_under","feasible-sweep-10 - fairness_valid/U_under__MIN","feasible-sweep-10 - fairness_valid/U_under__MAX","misty-sweep-9 - fairness_valid/U_under","misty-sweep-9 - fairness_valid/U_under__MIN","misty-sweep-9 - fairness_valid/U_under__MAX","gentle-sweep-8 - fairness_valid/U_under","gentle-sweep-8 - fairness_valid/U_under__MIN","gentle-sweep-8 - fairness_valid/U_under__MAX"
"1","0.31630097838725757","0.31630097838725757","0.31630097838725757","0.31627842107958626","0.31627842107958626","0.31627842107958626","0.3162563473419846","0.3162563473419846","0.3162563473419846","0.31625502117885046","0.31625502117885046","0.31625502117885046","0.3162438555869132","0.3162438555869132","0.3162438555869132","0.316231537935625","0.316231537935625","0.316231537935625","0.316231282964405","0.316231282964405","0.316231282964405","0.3162292129960652","0.3162292129960652","0.3162292129960652","0.3162705454503554","0.3162705454503554","0.3162705454503554","0.31626926654999715","0.31626926654999715","0.31626926654999715"
"2","0.31634016507352825","0.31634016507352825","0.31634016507352825","0.31629421473771163","0.31629421473771163","0.31629421473771163","0.3162708471931692","0.3162708471931692","0.3162708471931692","0.3162683827249152","0.3162683827249152","0.3162683827249152","0.31624639409428235","0.31624639409428235","0.31624639409428235","0.3162347218847674","0.3162347218847674","0.3162347218847674","0.3162342535569916","0.3162342535569916","0.3162342535569916","0.31623007484310317","0.31623007484310317","0.31623007484310317","0.3165482427329767","0.3165482427329767","0.3165482427329767","0.3165442048092078","0.3165442048092078","0.3165442048092078"
"3","0.31675282691114237","0.31675282691114237","0.31675282691114237","0.31667505357732867","0.31667505357732867","0.31667505357732867","0.3163190963803308","0.3163190963803308","0.3163190963803308","0.3163153569371714","0.3163153569371714","0.3163153569371714","0.3162803145568746","0.3162803145568746","0.3162803145568746","0.3162373035800748","0.3162373035800748","0.3162373035800748","0.31623660776311574","0.31623660776311574","0.31623660776311574","0.31623015834012846","0.31623015834012846","0.31623015834012846","0.3176529245922144","0.3176529245922144","0.3176529245922144","0.31764433933346087","0.31764433933346087","0.31764433933346087"
"4","0.31864060061574734","0.31864060061574734","0.31864060061574734","0.3185697427439156","0.3185697427439156","0.3185697427439156","0.3163892385434966","0.3163892385434966","0.3163892385434966","0.3163839946102094","0.3163839946102094","0.3163839946102094","0.3163336167376764","0.3163336167376764","0.3163336167376764","0.3162390921405353","0.3162390921405353","0.3162390921405353","0.3162381662545046","0.3162381662545046","0.3162381662545046","0.31622943695221234","0.31622943695221234","0.31622943695221234","0.32167942126773935","0.32167942126773935","0.32167942126773935","0.3216755157894663","0.3216755157894663","0.3216755157894663"
"5","0.32543649923835366","0.32543649923835366","0.32543649923835366","0.32576284787383586","0.32576284787383586","0.32576284787383586","0.3165549710477092","0.3165549710477092","0.3165549710477092","0.31654856485975763","0.31654856485975763","0.31654856485975763","0.316483857490836","0.316483857490836","0.316483857490836","0.3162407774831489","0.3162407774831489","0.3162407774831489","0.31623963769808455","0.31623963769808455","0.31623963769808455","0.31622878929981446","0.31622878929981446","0.31622878929981446","0.33244972198760336","0.33244972198760336","0.33244972198760336","0.3324908718871632","0.3324908718871632","0.3324908718871632"
"6","0.3421149317836491","0.3421149317836491","0.3421149317836491","0.34386366651994676","0.34386366651994676","0.34386366651994676","0.31701301517757535","0.31701301517757535","0.31701301517757535","0.3170060333899082","0.3170060333899082","0.3170060333899082","0.31692206584535015","0.31692206584535015","0.31692206584535015","0.31624403468488577","0.31624403468488577","0.31624403468488577","0.316242670285308","0.316242670285308","0.316242670285308","0.31622963882929994","0.31622963882929994","0.31622963882929994","0.35380803712708775","0.35380803712708775","0.35380803712708775","0.35397214118537434","0.35397214118537434","0.35397214118537434"
"7","0.3709149220087779","0.3709149220087779","0.3709149220087779","0.3749525785445776","0.3749525785445776","0.3749525785445776","0.3180670188977203","0.3180670188977203","0.3180670188977203","0.318062082226858","0.318062082226858","0.318062082226858","0.3179724575868923","0.3179724575868923","0.3179724575868923","0.3162471627558193","0.3162471627558193","0.3162471627558193","0.31624557530685415","0.31624557530685415","0.31624557530685415","0.31623036934839654","0.31623036934839654","0.31623036934839654","0.3857881435148582","0.3857881435148582","0.3857881435148582","0.3861128269352205","0.3861128269352205","0.3861128269352205"
"8","0.4039246537028019","0.4039246537028019","0.4039246537028019","0.40886983277885464","0.40886983277885464","0.40886983277885464","0.3202971302437572","0.3202971302437572","0.3202971302437572","0.32030383869629014","0.32030383869629014","0.32030383869629014","0.320280758039809","0.320280758039809","0.320280758039809","0.31625004769327936","0.31625004769327936","0.31625004769327936","0.31624824334820456","0.31624824334820456","0.31624824334820456","0.31623091359506716","0.31623091359506716","0.31623091359506716","0.4161804079878718","0.4161804079878718","0.4161804079878718","0.4165197576513061","0.4165197576513061","0.4165197576513061"
"9","0.42764398289037225","0.42764398289037225","0.42764398289037225","0.43305215916144324","0.43305215916144324","0.43305215916144324","0.32437368630540636","0.32437368630540636","0.32437368630540636","0.3244071740118922","0.3244071740118922","0.3244071740118922","0.32459946719573474","0.32459946719573474","0.32459946719573474","0.3162498114142232","0.3162498114142232","0.3162498114142232","0.31624779956746485","0.31624779956746485","0.31624779956746485","0.31622843775237974","0.31622843775237974","0.31622843775237974","0.4399699255261409","0.4399699255261409","0.4399699255261409","0.4403706216184731","0.4403706216184731","0.4403706216184731"
"10","0.4492169672079295","0.4492169672079295","0.4492169672079295","0.4549548047167725","0.4549548047167725","0.4549548047167725","0.3311021805756762","0.3311021805756762","0.3311021805756762","0.33118938997617636","0.33118938997617636","0.33118938997617636","0.33187865544381406","0.33187865544381406","0.33187865544381406","0.3162518665307589","0.3162518665307589","0.3162518665307589","0.3162496367507211","0.3162496367507211","0.3162496367507211","0.31622815146465205","0.31622815146465205","0.31622815146465205","0.4617761573491743","0.4617761573491743","0.4617761573491743","0.4621781179008265","0.4621781179008265","0.4621781179008265"
